,artist_name,biography,country,time_period,characteristics,paintings,movement
57,Edvard Munch,"Edvard Munch, born on December 12, 1863, in Loten, Norway, was a prominent Norwegian painter and printmaker, whose intense works prefigured the expressionist movement. Munch's childhood was marked by the early death of his mother when he was five and his father’s death when he was 14. These personal tragedies deeply influenced his outlook and work. Munch enrolled at the Royal School of Art and Design in 1881 in Christiania (now Oslo). He fell under the influence of the Symbolist movement, and his style matured as he began to blend Symbolism and Impressionism, leading to a unique visual language that emphasized emotional experience and psychological themes. Munch's first major exhibition of his work in 1892 in Berlin caused such a stir that it closed after a week, yet it launched his career in Germany and beyond. He spent much of his life in France and Germany, forming significant connections with contemporary artists, writers, and intellectuals. Despite dealing with mental health struggles throughout his life, which climaxed in a breakdown in 1908, Munch remained highly productive, creating a vast body of work demonstrating his exploration of love, fear, death, and existential crisis. He died on January 23, 1944, in Oslo, having left a profound influence on 20th-century art.",Norway,1863 to 1944,"Edvard Munch's art is characterized by its focus on psychological and emotional content, influenced by Symbolism and prefiguring Expressionism. Munch employed bold colors and dramatic, swirling forms to convey intense emotive narratives and existential concerns. His work often depicted themes of love, anxiety, illness, and death, reflecting his own life experiences. Through his use of vivid, symbolic colors and iconographic imagery, Munch sought to express internal states rather than external realities. His compositions frequently feature solitary, ghostly figures set against evocative and abstracted landscapes, emphasizing isolation and emotional turmoil. Munch was innovative in his use of perspective and distortion to heighten emotional impact, breaking away from traditional representational art to develop a more subjective, introspective style. Through techniques like the repetition of motifs in his works, he explored the themes of human life from birth to death, allowing him to delve deeper into human inner experience. His pioneering use of woodcut and lithography also made significant contributions to printmaking, rendering his works accessible and influential across Europe.","['The Scream', 'Madonna', 'The Dance of Life', 'The Sick Child', 'The Vampire']",Expressionism
58,Jules Breton,"Jules Breton was born on May 1, 1827, in Courrières, France, and became one of the foremost realist painters in the 19th century, known primarily for his depictions of rural French life. He studied art in Ghent and later at the École des Beaux-Arts in Paris, where he was influenced by the traditional academic training. His first success came with the painting ""The Return of the Harvesters"" in 1853, which was exhibited at the Paris Salon. Breton was deeply inspired by the countryside of Pas-de-Calais, often portraying peasant subjects with warmth and dignity. His works reflect a blend of realism and idealism, capturing the nobility of rural labor. Breton was also a writer, penning his memoirs and other works that reveal his deep connection to the land and the working class. Throughout his career, he received numerous accolades, including being made a member of the French Academy. Jules Breton passed away on July 5, 1906, in Paris, but his works continue to be celebrated for their poetic realism and are featured in major museums worldwide.",France,1827 to 1906,"Jules Breton's art is characterized by its focus on rural themes and the lives of peasants in the French countryside. His style combines elements of realism and romanticism, emphasizing both the everyday realities and the inherent dignity of his subjects. Breton often employed a harmonious color palette, capturing the natural light and atmospheres of rural scenes. His compositions are carefully balanced, reflecting an academic approach while infusing personal sentiment and empathy for his subjects. Technically, Breton used precise brushwork and attention to detail, which helped convey the quiet heroic nature of rural laborers. His paintings often depict scenes of agricultural life, such as harvesting, sowing, and gleaning, infused with a silent grandeur reminiscent of classical and religious art, elevating the ordinary to the realm of the sublime.","['The Gleaners', 'The Song of the Lark', 'The End of the Working Day', 'The Weeders', 'The Feast of Saint John']",Realism
59,Édouard Manet,"Édouard Manet was born on January 23, 1832, in Paris, France, into a bourgeois family. His father, a judge, expected him to pursue law, but Manet's uncle encouraged his artistic inclinations. Manet studied under Thomas Couture and visited Europe, drawing inspiration from the Old Masters. He presented alternative interpretations of modern life, bridging Realism and Impressionism. Manet's work was often controversial; for instance, ""Le Déjeuner sur l'herbe"" (1863) was rejected by the Paris Salon but displayed in the Salon des Refusés. Despite criticism, he gained recognition, influencing peers like Monet and Cézanne. Manet's later works displayed keen observation of contemporary life, with innovative approaches to light and color. He passed away on April 30, 1883, from complications of syphilis, leaving a lasting impact on modern art.",France,1832 to 1883,"Édouard Manet is often celebrated for pioneering modern art by challenging traditional techniques and subjects. He applied a broad, loose brushstroke style that contrasted sharply with the meticulously rendered works of the Academy. Manet favored modern subject matter, often depicting contemporary city life, leisure activities, and avant-garde themes. His approach to lighting was innovative; rather than adhering to classical modeling, he used light areas to flatten space, enhancing the realistic portrayal of subjects. Manet's palette featured a stark contrast between light and dark, avoiding transitional tones and thus highlighting the painting's surface texture. His works often imbued ordinary scenes with subtle depth, challenging viewers to find significance in the mundane. Manet's paintings have an immediacy and engagement that result from lively brushwork and bold color choices, paving the way for Impressionism while retaining aspects of Realism.","['Olympia', ""Le Déjeuner sur l'herbe"", 'The Luncheon in the Studio', 'A Bar at the Folies-Bergère', 'The Balcony']","Realism, Impressionism"
60,Robert Delaunay,"Robert Delaunay was born on April 12, 1885, in Paris, France, and grew to become a pivotal figure in the development of abstract art. Delaunay's early work was initially influenced by Neo-Impressionism before he shifted towards Cubism. However, he soon moved beyond it to explore color theories and their dynamic interaction, leading to the development of Orphism, a term coined by the poet Guillaume Apollinaire. Delaunay married Sonia Terk, an accomplished artist in her own right, and the couple collaborated extensively, pushing the boundaries of abstraction and color harmony. His work attracted attention at the same time as the burgeoning Cubist movement but was distinguished by its vibrant exploration of color as a primary expressive element, setting the stage for future abstract and color-focused art movements. Robert Delaunay passed away on October 25, 1941, in Montpellier, France, leaving behind a legacy that significantly influenced modern art through his innovative use of color and form.",France,1885 to 1941,"Robert Delaunay's signature style is characterized by its bold use of color, dynamic composition, and abstract approach. His technique focused heavily on the optical effects of color, as inspired by scientific color theories, such as the work of Michel Eugène Chevreul on simultaneous contrast. Delaunay's paintings often eschewed traditional perspective, instead emphasizing circular forms and rhythmic color contrasts that produced a sense of movement and dynamism, integral to his invented style known as Orphism. Rather than depict recognizable forms, his work is rooted in the abstraction, seeking to convey the sensation and vibrancy that colors could evoke. His innovative use of color as the central subject offers a contrasting interpretation to the geometric form-focused Cubism, fostering a new understanding of visual harmony built around color's emotive power rather than representational accuracy.","['Simultaneous Windows', 'The City of Paris', 'Circular Forms', 'Rhythms', 'The Red Tower']",Cubism
61,Angelica Kauffman,"Angelica Kauffman, born on October 30, 1741, in Chur, Switzerland, was one of the most celebrated female artists of the 18th century. Her artistic journey began under the guidance of her father, Johann Joseph Kauffman, a painter who recognized her talent early on. By her teens, Kauffman was an accomplished portraitist. She moved to Italy in the 1760s, where she immersed herself in the Neoclassical movement, drawing inspiration from Roman and Greek art. In Rome, Kauffman honed her skills in history painting, gaining acclaim for her works depicting classical subjects. In 1766, she traveled to England, where she became a founding member of the Royal Academy in 1768, one of only two women granted this honor at the time. Her work was characterized by graceful style, blending Neoclassical subject matter with a personal touch that often portrayed strong, intellectual women. Despite societal constraints, Kauffman thrived professionally and socially, befriending prominent figures such as Sir Joshua Reynolds. She returned to Rome in 1782 after her marriage to Venetian painter Antonio Zucchi. In Italy, she continued to paint until her death on November 5, 1807. Kauffman's legacy endures through her large body of work, which highlights her skill in navigating and succeeding in a male-dominated art world, making her a pivotal figure in the history of art.",Switzerland,1741 to 1807,"Angelica Kauffman’s art is notably recognized for its adherence to the principles of Neoclassicism, a movement she helped pioneer. Her signature style features a harmonious blend of classical themes and modern sensibility, emphasizing virtue, beauty, and morality. Kauffman excelled in history paintings, portraits, and genre scenes, often portraying mythological and allegorical subjects. Her compositions are marked by clarity, order, and balance, reflecting her classical education and deep knowledge of Renaissance and Baroque art. She was adept at using soft color palettes and meticulous detailing to convey emotion and narrative subtly. Kauffman’s paintings often feature women as dignified and intellectual protagonists, reflecting both her personal beliefs and the Enlightenment ideals of her time. Her ability to capture complex characters and narratives in an elegant and refined manner made her highly sought after by patrons across Europe. Her technical skills and innovative approach helped cement her position as a leading artist of her era, leaving a lasting impact on the art world.","['The Family of Earl Gower', 'Self-Portrait Hesitating Between Painting and Music', 'Hector Taking Leave of Andromache', 'The Sorrow of Telemachus', 'Zeuxis Choosing his Models for the Image of Helen']",Neoclassicism
62,Henri Rousseau,"Henri Rousseau, often known as ""Le Douanier"" due to his job as a toll collector, was born on May 21, 1844, in Laval, France. Despite facing financial difficulties during his early years, Rousseau eventually aimed to pursue a career in art, albeit later in life. Upon moving to Paris, he worked as a customs official while painting in his spare time. Untrained formally, Rousseau developed a distinctive naïve or primitive style. Initially met with scorn by critics, he eventually gained respect and admiration from avant-garde artists. Throughout his career, Rousseau sought inspiration in the vivid portrayal of exotic jungles, even though he never traveled outside France. His works depict a dream-like vision, expressing a unique blend of vibrant colors, flattened perspectives, and imaginative subject matter. Rousseau's conviction in his artistic talent attracted figures such as Pablo Picasso and Guillaume Apollinaire, who appreciated his creativity and individuality. Rousseau died on September 2, 1910, leaving behind a legacy that influenced many modernists and surrealists.",France,1844 to 1910,"Henri Rousseau is renowned for his unique and imaginative style that epitomizes a strain of Post-Impressionist art known as 'Naïve art' or 'Primitivism.' Characterized by flat compositions, rich color palettes, and extraordinary attention to detail, Rousseau's artworks often transport viewers into fantastical jungles and exotic landscapes. Despite lacking formal artistic education, Rousseau's simplicity in form belies a complexity in mood and atmosphere. His use of vibrant, often unreal, colors coupled with meticulously detailed foliage gives his work a dream-like quality. Rousseau frequently incorporated symbolist elements, synthesizing imagination with reality. His technique involved broad color areas contrasted starkly against each other, frequently lending a child-like sincerity to his art. Furthermore, Rousseau's innocent and captivating style, though initially dismissed by some critics, resonated with avant-garde artists who found inspiration in his unorthodox approach and disregard for artistic conventions, making him a forerunner to Surrealism.","['The Sleeping Gypsy', 'The Dream', 'Carnival Evening', 'The Snake Charmer', 'Surprised!']",Post-Impressionism
63,Gustave Courbet,"Gustave Courbet was born on June 10, 1819, in Ornans, France, and emerged as a leading figure of the Realist movement. He rejected artistic conventions and championed painting subjects grounded in everyday life rather than ideals. Growing up in a prosperous farming family, Courbet later moved to Paris to study art and quickly became embroiled in the political and social upheavals of mid-19th century France. His large-scale depictions of common people and rural life challenged the traditional academic standards of the time, which favored idealized representations of historical and religious subjects. This defiance resonated with the sociopolitical shifts of the 1848 Revolution and the rise of socialism. Courbet's commitment to realism extended beyond his art; he was deeply involved in politics and briefly led the Federation of Artists during the Paris Commune of 1871. His political activities eventually led to his arrest and self-imposed exile in Switzerland, where he continued to paint until his death on December 31, 1877. Courbet's legacy as a pioneer of realism profoundly influenced subsequent movements, such as Impressionism and Modernism, as artists sought to portray the world with authenticity and honesty.",France,1819 to 1877,"Gustave Courbet's work marked a decisive shift towards realism, characterized by the portrayal of everyday life and ordinary people with an unembellished truthfulness. Rejecting the idealized imagery of romanticism, Courbet employed a realistic approach, focusing on subject matter traditionally marginalized by academic painting, such as rural settings, working-class individuals, and starkly honest self-portraits. His technique was equally groundbreaking, featuring a coarse texture and a palette rich with earth tones, emphasizing depth and rawness. Courbet's composition often conveyed a sense of immediacy and mass, achieved through the strategic use of chiaroscuro and complex layering of paint. His confrontational approach not only challenged artistic norms but also mirrored his radical political views, advocating for social change through visual expression. This candid representation of reality was instrumental in paving the way for future art movements like Impressionism and laid a foundation for modernist explorations of the real versus the ideal.","['The Stone Breakers', 'A Burial at Ornans', 'The Origin of the World', ""The Painter's Studio"", 'The Desperate Man']",Realism
64,Mark Rothko,"Mark Rothko was born on September 25, 1903, in Daugavpils, Latvia (then part of the Russian Empire) and emigrated with his family to the United States in 1913. He grew up in Portland, Oregon, and attended Yale University on a scholarship before leaving after two years. Rothko settled in New York City in the 1920s, where he began his career as a painter. Initially influenced by Surrealism and mythological themes, he gradually moved towards Abstract Expressionism. Rothko is best known for his color field paintings, which feature large blocks of color intended to evoke emotion and contemplation. Despite achieving fame and success, Rothko struggled with depression, ultimately taking his own life on February 25, 1970, in New York City. His legacy endures through his profound influence on contemporary art and the emotional depth of his work.",United States,1903 to 1970,"Mark Rothko is primarily associated with Abstract Expressionism and color field painting. His work is characterized by large canvases featuring soft-edged rectangles of color that seem to pulsate with light and depth. Rothko's paintings are known for their subtle tonal variations and layering of colors, which create a sense of shimmering luminosity and depth. He eschewed traditional subject matter, focusing instead on the emotional impact of pure color and form. His technique involved applying thin layers of paint to achieve a sense of transparency and radiance. Rothko believed his paintings should provoke an emotional or spiritual response, aiming for a direct, intimate connection between viewer and artwork. This approach was influenced by his interest in mythology, philosophy, and the human condition, seeking to express universal human emotions and transcend everyday experience.","['No. 61 (Rust and Blue)', 'No. 14, 1960', 'Red on Maroon', 'White Center (Yellow, Pink and Lavender on Rose)', 'Untitled, 1952']",Abstract Expressionism
65,Georges Seurat,"Georges-Pierre Seurat, born on December 2, 1859, in Paris, France, was a pivotal figure in the late 19th-century art world. He is best known as the founder of the Neo-Impressionist movement, a term coined to describe his innovative use of color theory and painting technique called Pointillism. Seurat's background in formal art training at the École des Beaux-Arts in Paris provided him with a strong foundation in classical methods, which he sought to transcend with his interest in optical and color theories. Seurat's dedication to creating harmony and emotion in art through scientific approaches to painting positioned him as a leader in the evolution of modern art. Seurat's life was tragically brief. His career was cut short when he died on March 29, 1891, in Paris at the age of 31, likely due to an illness such as meningitis. Despite his short lifespan, Seurat made an indelible impact on art, leaving behind a legacy that would influence countless artists and movements, including the Fauves and the Cubists. His attention to detail, methodology, and scientific approach to art ultimately redefined how artists approached both color and composition.",France,1859 to 1891,"Georges Seurat is best known for his pioneering technique called Pointillism, a method characterized by the application of small, distinct dots of color that, when viewed from a distance, blend together to form an image. This technique was based on scientific color theories, particularly the work of Michel Eugène Chevreul on color contrast, and aimed to achieve greater vibrancy and luminosity in painting. Seurat's work is distinguished by its precision, clarity, and a systematic method to applying color. His paintings often depict contemporary Parisian life, landscapes, and urban scenes, all rendered with an eye toward structural composition and balance. Seurat emphasized the harmonious arrangement of colors and forms, seeking to evoke emotion through order and symmetry. His methodical approach distinguished him from the more intuitive techniques of his Impressionist predecessors. Seurat's dedication to depicting light and form through meticulous technique positioned him as a key figure in the transition from Impressionism to more structured forms of modern art.","['A Sunday Afternoon on the Island of La Grande Jatte', 'Bathers at Asnières', 'The Circus', 'The Models', 'Bridge at Courbevoie']",Post-Impressionism
66,Jean-Michel Basquiat,"Jean-Michel Basquiat was born on December 22, 1960, in Brooklyn, New York City, to a Haitian-American father and a Puerto Rican mother. His diverse cultural background deeply influenced his art, which often integrated themes of race, identity, and social injustice. Basquiat began his artistic career as a street artist, using the pseudonym SAMO to tag walls in Lower Manhattan with cryptic and poignant phrases. He quickly gained recognition for his raw and expressive style. By the early 1980s, Basquiat transitioned to the gallery scene, where his work caught the attention of prominent art dealers and collectors. His rapid rise to fame was marked by collaborations with other influential artists like Andy Warhol. Despite his success, Basquiat struggled with personal demons and drug addiction, which ultimately led to his untimely death on August 12, 1988, at the age of 27. Basquiat's legacy endures through his impactful contributions to the Neo-expressionist movement and the broader art world.",United States,1960 to 1988,"Jean-Michel Basquiat's art is characterized by its frenetic energy, vivid color palettes, and use of text alongside images. His works often feature a mix of abstraction and figurative elements, drawing from street culture, African American history, and personal narratives. Basquiat's art is notable for its use of iconography, including crowns, skeletal figures, and references to music and popular culture. He employed mixed media techniques, incorporating paint, collage, and found objects on his canvases. The spontaneity and improvisational aspect of his work reflect his roots in graffiti art, while the underlying themes of race, power, and class provide a critical commentary on societal issues. Basquiat's distinctive approach challenged traditional norms of fine art and paved the way for greater inclusivity within the art world.","['Untitled (1981)', 'Hollywood Africans', 'Irony of Negro Policeman', 'Boy and Dog in a Johnnypump', 'Horn Players']",Contemporary Art
67,Nicolas Poussin,"Nicolas Poussin was born in June 1594 in Les Andelys, Normandy, France, and is regarded as one of the most influential figures in French Baroque painting. He initially trained under Quentin Varin in Les Andelys and later moved to Paris and eventually to Rome, which became his home for much of his career. Poussin’s work reflects his deep admiration for classical antiquity and Renaissance humanism. His association with the intellectual community in Rome and friendships with figures like Domenichino and Cassiano dal Pozzo deeply influenced his artistic direction. Poussin’s works are noted for their rational order, emotional depth, and classical themes, making him a prominent proponent of the Classicism movement in art. Despite spending most of his career in Italy, Poussin had a strong impact on French art, influencing later artists in the Academy and beyond. Poussin died in Rome in 1665, leaving behind a legacy as a master of narrative painting and a source of inspiration for Classicist painters.",France,1594 to 1665,"Nicolas Poussin is celebrated for his classical approach to painting. His art is characterized by clarity, logic, and order, modeling art on classical interiors and landscapes. Poussin’s paintings often depict historical or biblical narratives, embodied in a harmonious composition that prioritizes line over color, a hallmark of classicism. He employed a palette of subdued colors, creating a serene and balanced effect that supported the intellectual content of his works. His compositions are meticulously planned, focusing on the arrangement and interaction of figures within the landscapes. Influenced by the writings of the ancient artist Leon Battista Alberti and the philosopher René Descartes, Poussin’s work reflects the ideals of reason and proportion. His dedication to classical antiquity and restraint influenced the French Academy and established a long-lasting tradition of classicism in European art.","['Et in Arcadia Ego', 'The Death of Germanicus', 'The Abduction of the Sabine Women', 'The Triumph of Pan', 'The Judgment of Solomon']",Baroque
68,Artemisia Gentileschi,"Artemisia Gentileschi was born on July 8, 1593, in Rome, Italy. She was the daughter of noted painter Orazio Gentileschi, who trained her in the art of painting. Artemisia was a significant figure in Baroque painting and one of the first women to enter the male-dominated art world of her time. Her career began in Rome, but after a notorious trial involving the painter Agostino Tassi, who raped her, she moved to Florence. There, she gained patronage from the Medici family and became the first woman to join the Accademia di Arte del Disegno. Artemisia's life was marked by the struggle for recognition and respect in a patriarchal society, yet she managed to achieve international acclaim and worked in Naples, Venice, and London. Her work often featured strong, heroic women, reflecting both her personal experiences and the broader themes of Baroque art. Artemisia died around 1656, leaving behind a legacy that has only grown in recognition over the centuries.",Italy,1593 to 1656,"Artemisia Gentileschi's art was distinguished by its dramatic use of light and shadow, a key element of the Baroque period, known as chiaroscuro. Her compositions often depicted scenes of intense emotion and dramatic tension, featuring powerful, complex female figures. Unlike many of her male contemporaries, who idealized women, Artemisia's portrayals were grounded in reality, drawing from her own experiences and struggles as a woman in a male-dominated society. Her technique involved bold, realistic details, characterized by a strong naturalism. Gentileschi's color palette was rich and varied, enhancing the emotional and psychological depth of her subjects. Her pioneering approach to narrative storytelling, emphasizing female empowerment and resilience, made her a unique voice in the Baroque art movement.","['Judith Slaying Holofernes', 'Self-Portrait as the Allegory of Painting', 'Susanna and the Elders', 'Judith and her Maidservant', 'Cleopatra']",Baroque
69,Antoine Watteau,"Jean-Antoine Watteau was born on October 10, 1684, in Valenciennes, France. Watteau showed a keen interest in painting from a young age and moved to Paris in 1702 to further his career, initially working in a workshop that specialized in religious artworks. By 1704, he had found inspiration in the theatrical and pastoral scenes that would come to define his work. Watteau became associated with the 'fête galante', a genre he effectively invented, depicting elegantly dressed figures in idyllic, pastoral settings, often engaged in courtship. His style was characterized by a sense of movement, subtle coloration, and an intricate interplay of light and shadow. He had an uncompromising approach to capturing the delicate nuances of human relationship, which marked a departure from the grand style of the previous Baroque period and signaled a shift toward what is now referred to as the Rococo movement. Watteau was elected to the French Academy in 1717, where he presented his influential 'The Pilgrimage to Cythera'. He never married and struggled with poor health throughout his life, succumbing to tuberculosis at the age of 36 on July 18, 1721. Despite his brief career, Watteau's legacy significantly influenced 18th-century art across Europe, particularly impacting artists like François Boucher and Jean-Honoré Fragonard.",France,1684 to 1721,"Antoine Watteau's art is characterized by its elegance, lightness, and a sense of poetic movement. He pioneered the 'fête galante' style, which blends elements of genre painting with idealized pastoral landscapes, creating a dreamlike atmosphere. His paintings feature a soft, luminous palette dominated by pastels, and an exceptional ability to convey the subtleties of human emotion and interaction. Watteau's brushwork is delicate and fluid, enhancing the sense of spontaneity and intimacy that pervades his work. He often explored themes of love, frivolity, and transience, embodying the Rococo spirit's playful and decorative aspects. Watteau's art, while rooted in real human experience, often blurs the line between fantasy and reality, inviting viewers into an idealized world that seems almost theatrical in its composition.","['The Embarkation for Cythera', 'Pierrot', ""Gersaint's Shopsign"", 'The Dance', 'The Italian Comedians']",Rococo
70,Yves Tanguy,"Yves Tanguy was born on January 5, 1900, in Paris, France. He spent his early years traveling with his naval officer father, which greatly influenced his imaginative landscape paintings. Tanguy did not receive formal art training and instead began painting in the early 1920s after experiencing a pivotal encounter with Giorgio de Chirico's work. By 1925, Tanguy had associated with the Surrealists, a group led by André Breton. His entrance into the Surrealist movement was seamless as his work naturally aligned with their emphasis on automatism and dream-like imagery. His paintings typically feature vast, indefinite spaces filled with mysterious biomorphic forms rendered with meticulous precision. Throughout his career, Tanguy's work evolved technically, with a gradual refinement in his depiction of light and space, contributing significantly to the Surrealist movement. In 1939, he married fellow Surrealist artist Kay Sage and relocated to the United States shortly before the outbreak of World War II, settling in Woodbury, Connecticut. His unique vision and contribution to Surrealism had a lasting impact on the field of abstract and surrealist art, influencing numerous artists. Tanguy's works continue to be celebrated for their dreamlike quality and meticulous detail. He passed away on January 15, 1955.",France,1900 to 1955,"Yves Tanguy's artworks are renowned for their depiction of imaginary landscapes that blend natural and abstract forms. His style is characterized by its use of meticulous detail and smooth gradations of light and shade, creating a sense of depth and otherworldliness. Tanguy's paintings often feature vast, empty spaces populated with enigmatic, biomorphic shapes, evoking dream-like, hallucinatory worlds. His palette typically included muted tones—grays, soft blues, and earth colors—contributing to a sensation of eerie silence. A significant characteristic of Tanguy's work was his application of automatism, a technique highly favored by the Surrealists, where he allowed his subconscious to guide the creation of forms and compositions spontaneously. This approach resulted in compositions that resonate with psychological depth and suggestive ambiguity, blending form and space seamlessly. Tanguy's work, while aligned with Surrealism, also foreshadowed elements found in abstract expressionism, as his focus on subconscious expressions and abstract forms served to bridge these two significant art movements.","['Mama, Papa is Wounded!', 'Indefinite Divisibility', 'Through Birds, Through Fire, but Not Through Glass', 'The Palace of Windowed Rocks', 'Multiplication of the Arcs']",Surrealism
71,Yayoi Kusama,"Yayoi Kusama, born on March 22, 1929, in Matsumoto, Japan, is one of the most celebrated contemporary artists, known for her extensive body of work that spans a wide range of mediums, including painting, sculpture, video, and installations. Kusama's artistic journey began in earnest when she moved to New York City in the late 1950s, where she became an influential figure in the avant-garde art scene of the 1960s. Her early work was recognized for its innovative approach and bold use of polka dots and repetitive patterns. Throughout her career, Kusama has drawn upon her experiences with mental health challenges, hallucinations, and obsessions, channeling them into her art as a form of therapy and expression. Despite facing significant personal struggles, including returning to Japan in the 1970s and spending decades voluntarily living in a psychiatric hospital, Kusama's work continues to gain acclaim worldwide. Her art has been exhibited globally, affirming her status as a leading figure in contemporary art and a uniquely influential voice.",Japan,1950 to present,"Yayoi Kusama's art is characterized by its repetitive patterns, vibrant colors, and iconic use of polka dots, which she refers to as ""infinity nets."" These elements aim to evoke a sense of boundlessness and immersion, reflecting her vision of obliteration and unity within the cosmos. Kusama's work often explores themes of self-identity, mental health, life, and death, presenting a deep, psychological landscape. Her installations are immersive, inviting viewers into vast environments full of color and light, achieving an almost hallucinatory experience. Kusama's techniques involve a meticulous application of patterns, transformative use of materials such as mirrors to create infinite reflections, and an ongoing exploration of scale, from small canvases to life-size environments. Her embrace of the surreal and fantastical paired with her personal narrative renders her art both compelling and uniquely identifiable.","['Infinity Nets', 'Pumpkin', 'Dots Obsession', 'Accumulation', 'Hymn of Life: Tulips']",Contemporary Art
72,Maurice de Vlaminck,"Maurice de Vlaminck was born on April 4, 1876, in Paris, France, into a musical family which had a significant influence on his artistic sensibilities. Although he initially pursued a career in music, his creative focus shifted to painting after meeting artist André Derain in Chatou in 1900. Vlaminck quickly became involved with the Fauvist movement, known for its vibrant colors and emotional intensity. Predominantly self-taught, Vlaminck was inspired by the works of Vincent van Gogh and Paul Cézanne, which he encountered early in his career. By 1905, he gained recognition after exhibiting at the Salon d'Automne alongside Henri Matisse and Derain, marking the formal advent of Fauvism. During this time, Vlaminck developed his signature style characterized by expressive brushwork and bold, non-naturalistic color palette.

However, by 1908, Vlaminck began distancing himself from Fauvism, turning towards a more subdued palette and solid form inspired by Cézanne. His later works exhibited a darker tone, reflecting the psychological impact of World War I, in which he served as a soldier. Throughout his career, Vlaminck was also a prolific writer and published several autobiographies and novels. Despite his initial influence and significant contributions to early 20th-century modernism, he became increasingly conservative in his later years, often vocally opposing contemporary avant-garde movements. Maurice de Vlaminck passed away on October 11, 1958, in Rueil-la-Gadelière, France, leaving behind a rich legacy as a pioneering figure in modern art.",France,1876 to 1958,"Maurice de Vlaminck was a central figure in the Fauvist movement, a group of artists known for their use of vivid, unnatural colors and emotional potential as an expressive force. Vlaminck's early work is characterized by its spontaneous brushwork, vibrant, exaggerated colors, and a tendency towards abstraction. His paintings are emotionally charged and aimed at evoking sensations and moods rather than depicting reality. Landscapes and scenes of rural French life often served as his favored subject matter, captured in ways that highlighted his psychological engagement with the environment. 

Vlaminck's style underwent a noticeable evolution around 1908, when his fascination with Paul Cézanne led him towards more structured compositions, a muted color palette, and a focus on the form over emotion. This shift demonstrated his ability to adapt and transform his approach in response to prevailing artistic currents, from the wild exuberance of Fauvism to more introspective and somber post-war portrayals. Alongside his visual explorations, Vlaminck published literary works that mirrored his artistic shifts, delving into themes of personal introspection, existential crisis, and reflection on the human condition.","['The River Seine at Chatou', 'Restaurant de la Machine at Bougival', 'The Circus', 'The Wheat Field', 'Barges on the Seine']",Fauvism
73,Takashi Murakami,"Takashi Murakami, born on February 1, 1962, in Tokyo, Japan, is a contemporary artist known for his innovative blending of traditional Japanese art with contemporary pop culture. He earned his Doctor of Fine Arts degree from the Tokyo University of the Arts, focusing initially on nihonga, a traditional style of Japanese painting. Dissatisfied with the limitations he perceived in nihonga, Murakami turned towards contemporary art, creating a unique style he calls 'Superflat.' This term not only describes the aesthetic of his work, which collapses the boundaries between high and low art, but also comments on post-war Japanese culture and the consumerism that defines it. Murakami's career gained international prominence in the 1990s, and he has since maintained a dominant presence in the art world by incorporating themes from otaku culture, commercial branding, and mass media. He is also known for his collaborations with major fashion brands such as Louis Vuitton, furthering his exploration of art as a commercial medium.",Japan,1990 to present,"Takashi Murakami's art is defined by the term 'Superflat,' which blurs the lines between high art and consumer culture. His works feature flat, colorful aesthetics influenced by Japanese manga and anime, creating a two-dimensional look that emphasizes surface and design. Murakami often uses bright, candy-like colors and recurring motifs such as smiling flowers, mushrooms, and iconic characters like Mr. DOB, a character that serves as a playful critique of Western pop culture's commodification. His work is rooted in the exploration of Japan's post-war social dynamics and modern globalization's effects. Murakami frequently employs digital techniques to produce precise, clean designs, and his pieces often include commercial elements, underscoring the art-commerce relationship.","['727', 'Tan Tan Bo Puking - a.k.a. Gero Tan', 'Flower Ball', 'Tan Tan Bo', 'And Then, And Then, And Then, And Then, And Then']",Contemporary Art
